carat,cut,color,clarity,depth,table,price,x,y,z
0.33,2,3,6,61.1,56.0,838,4.47,4.5,2.74
0.77,2,1,3,62.3,57.0,2689,5.88,5.91,3.67
1.01,3,3,4,59.5,60.0,4853,6.49,6.48,3.86
1.11,0,6,3,64.8,55.1,4056,6.44,6.55,4.21
1.01,4,3,2,60.0,58.0,4719,6.51,6.55,3.92
0.32,4,3,3,62.4,59.0,421,4.35,4.4,2.73
0.5,2,2,2,59.9,57.0,1286,5.19,5.16,3.1
1.1,2,6,2,62.2,55.0,4275,6.62,6.65,4.13
0.4,1,3,3,63.1,59.0,596,4.65,4.7,2.95
0.32,4,3,5,62.3,55.0,544,4.38,4.41,2.73
0.4,4,1,4,60.5,61.0,1053,4.72,4.74,2.86
0.31,2,1,7,60.4,61.0,710,4.37,4.44,2.66
0.72,2,5,4,62.1,55.0,2430,5.73,5.76,3.56
0.3,3,3,7,61.8,59.0,878,4.26,4.22,2.62
0.36,3,0,3,60.9,58.0,689,4.63,4.6,2.81
1.33,3,3,4,60.2,60.0,9992,7.2,7.12,4.31
0.52,2,3,4,62.1,54.0,1743,5.17,5.14,3.2
0.3,3,6,4,62.4,58.0,506,4.3,4.26,2.67
0.27,3,1,7,61.8,59.0,752,4.18,4.14,2.57
0.31,2,3,4,61.6,55.0,596,4.37,4.4,2.7
1.56,2,2,3,61.6,56.0,10210,7.41,7.45,4.58
0.52,2,4,2,62.3,54.0,1074,5.15,5.18,3.22
0.37,3,0,5,61.0,59.0,1124,4.63,4.59,2.81
1.26,2,3,2,59.6,57.0,6738,7.08,7.04,4.21
1.32,3,3,3,59.2,61.0,4373,7.21,7.14,4.25
1.5,4,5,3,63.2,52.0,6115,7.28,7.24,4.59
1.01,4,3,3,62.1,60.0,4435,6.38,6.35,3.95
2.0,3,5,3,60.7,61.0,13820,8.09,8.03,4.89
0.53,3,3,2,61.0,59.0,1273,5.25,5.21,3.19
0.64,1,4,4,61.8,60.3,1786,5.47,5.53,3.4
1.19,3,1,0,60.2,61.0,3572,6.91,6.87,4.15
1.55,3,4,4,58.4,61.0,9041,7.64,7.59,4.45
1.15,2,2,7,62.1,55.0,8743,6.69,6.74,4.17
1.02,2,4,3,60.5,60.0,4225,6.56,6.53,3.96
2.0,3,3,3,61.7,60.0,11355,7.95,7.9,4.89
1.22,2,5,4,62.6,57.0,6887,6.8,6.76,4.24
1.01,2,5,4,60.3,57.0,5231,6.51,6.53,3.93
0.32,4,2,2,62.3,55.0,533,4.39,4.44,2.75
0.3,1,3,5,63.5,55.0,526,4.22,4.25,2.69
1.21,4,4,5,62.9,58.0,6673,6.74,6.78,4.25
1.21,4,4,2,63.1,60.0,5871,6.74,6.69,4.24
0.74,3,1,3,62.6,58.0,2617,5.77,5.73,3.6
1.0,4,3,5,63.3,60.0,5600,6.37,6.29,4.01
0.3,2,1,5,62.0,55.0,844,4.35,4.3,2.68
0.57,3,1,2,59.4,58.0,1613,5.42,5.38,3.21
0.4,2,5,7,61.9,56.4,728,4.72,4.74,2.93
0.31,2,2,5,61.6,55.0,802,4.37,4.36,2.69
0.4,2,3,6,61.6,57.0,1200,4.76,4.75,2.93
0.4,2,3,5,62.0,56.0,1240,4.73,4.78,2.95
0.31,2,2,5,61.6,55.0,757,4.38,4.39,2.7
1.0,2,1,0,63.0,57.0,3360,6.35,6.32,3.99
0.24,4,1,6,63.4,57.0,478,3.91,3.95,2.49
0.56,2,3,5,61.7,56.0,1698,5.34,5.3,3.28
0.43,3,0,2,60.1,58.0,1064,4.93,4.89,2.95
0.3,2,2,1,62.0,56.0,1013,4.34,4.3,2.68
0.3,1,4,5,63.5,54.0,473,4.27,4.3,2.72
0.3,2,2,5,63.0,55.0,673,4.29,4.28,2.7
0.34,4,1,2,63.3,56.0,765,4.44,4.41,2.8
0.52,2,0,2,62.4,56.0,1600,5.12,5.17,3.21
0.7,3,0,3,62.1,60.0,2299,5.71,5.73,3.55
1.13,2,4,5,61.9,56.0,6670,6.69,6.63,4.13
0.32,2,2,4,61.9,56.0,900,4.4,4.36,2.71
0.28,4,1,7,60.0,56.0,642,4.26,4.28,2.56
0.31,2,3,1,61.3,54.0,891,4.38,4.4,2.69
1.07,3,6,3,62.4,58.0,4105,6.54,6.47,4.06
1.01,2,1,5,62.1,56.0,7355,6.41,6.45,3.99
0.3,2,1,7,62.3,56.0,766,4.3,4.34,2.69
1.52,3,5,0,61.2,58.0,3541,7.43,7.35,4.52
1.71,1,6,5,62.8,58.0,8831,7.48,7.55,4.72
1.05,3,4,2,62.2,58.0,4682,6.5,6.46,4.03
0.4,4,2,4,62.0,56.0,951,4.71,4.73,2.92
0.51,2,0,4,62.1,55.0,1959,5.14,5.2,3.21
1.02,1,4,3,58.2,60.0,3940,6.49,6.57,3.8
0.23,4,1,7,61.8,58.0,530,3.92,3.94,2.43
1.19,4,3,3,63.4,56.0,3739,6.69,6.56,4.2
0.4,3,1,4,60.5,61.0,1125,4.74,4.72,2.86
1.02,3,4,2,59.2,58.0,4754,6.6,6.57,3.9
0.91,3,3,5,59.5,58.0,4241,6.34,6.26,3.75
0.33,2,0,5,60.3,55.0,667,4.5,4.52,2.72
0.3,2,0,2,61.0,57.0,709,4.33,4.29,2.63
0.35,4,5,5,62.9,57.0,491,4.5,4.53,2.84
1.28,3,4,2,62.1,62.0,6210,6.88,6.83,4.26
0.3,3,0,5,60.6,58.0,710,4.32,4.36,2.63
1.25,3,3,5,62.6,58.0,8820,6.87,6.8,4.28
1.51,1,5,2,63.9,59.0,9069,7.18,7.26,4.61
0.4,3,1,5,59.3,59.0,975,4.81,4.77,2.84
0.57,3,2,4,61.3,58.0,1915,5.38,5.26,3.26
0.52,2,1,5,62.0,55.0,1815,5.19,5.14,3.2
0.53,2,4,4,61.9,55.0,1731,5.18,5.21,3.22
0.31,4,2,5,63.0,57.0,583,4.27,4.33,2.71
0.45,3,2,5,61.4,60.0,945,4.93,4.87,3.01
0.81,2,1,5,60.4,57.0,3231,6.02,6.06,3.65
0.7,0,2,3,65.3,55.0,2075,5.6,5.49,3.62
1.7,2,0,2,60.0,54.0,12190,7.76,7.71,4.64
0.39,2,2,4,61.7,56.0,913,4.68,4.72,2.9
1.0,0,5,2,66.0,56.0,2912,6.31,6.24,4.13
1.0,1,0,2,60.4,64.0,5096,6.39,6.3,3.83
0.35,2,3,2,61.8,55.0,503,4.54,4.56,2.81
2.17,3,2,3,59.3,61.0,13084,8.6,8.53,5.08
0.43,1,5,5,58.0,57.0,696,4.96,5.01,2.89
1.11,2,3,2,61.9,57.0,5408,6.63,6.66,4.11
0.34,2,1,5,62.4,56.0,745,4.45,4.49,2.79
0.3,4,1,3,61.6,61.0,421,4.25,4.29,2.63
1.49,3,4,2,61.9,57.0,10096,7.35,7.31,4.54
0.9,3,2,3,62.0,61.0,3704,6.16,6.14,3.81
0.24,2,3,6,62.0,55.0,559,4.01,4.03,2.49
0.34,2,2,5,62.9,55.0,880,4.48,4.46,2.81
0.32,3,2,5,61.7,58.0,828,4.41,4.38,2.71
1.66,1,6,5,64.4,54.0,8496,7.45,7.54,4.83
0.23,2,3,6,60.8,57.0,536,3.96,3.99,2.41
0.75,2,0,5,62.4,55.0,3456,5.83,5.8,3.63
0.41,2,3,4,61.9,57.0,899,4.76,4.81,2.96
1.0,1,1,3,64.0,54.0,4026,6.31,6.26,4.01
0.31,2,3,5,61.7,55.0,544,4.35,4.37,2.69
1.79,4,2,5,62.8,59.0,18429,7.7,7.8,4.87
0.51,2,6,2,62.5,56.0,988,5.06,5.12,3.18
0.35,2,3,4,60.6,56.0,706,4.57,4.6,2.78
0.25,2,1,7,61.7,56.0,705,4.05,4.07,2.5
0.41,2,3,7,61.3,56.0,1076,4.77,4.76,2.92
1.19,2,4,4,62.1,54.0,7181,6.8,6.83,4.23
0.31,2,0,5,62.1,55.0,942,4.32,4.31,2.68
1.01,4,0,2,63.6,59.0,6270,6.33,6.37,4.04
0.41,4,2,2,63.6,57.0,680,4.72,4.75,3.01
0.33,1,2,2,61.8,62.0,536,4.4,4.45,2.74
0.3,1,5,2,64.1,57.0,506,4.3,4.25,2.74
0.32,2,2,6,62.3,56.0,926,4.35,4.38,2.72
0.3,3,4,7,60.6,58.0,776,4.35,4.33,2.63
2.01,1,1,3,60.0,64.0,16582,8.09,8.17,4.88
1.0,1,0,2,57.6,62.0,4155,6.62,6.5,3.78
0.4,2,1,6,61.3,56.0,1778,4.75,4.78,2.92
1.01,0,5,3,68.1,59.0,3054,6.14,6.11,4.17
0.54,2,3,2,61.7,55.0,1187,5.24,5.27,3.24
0.4,3,1,4,61.2,59.0,1053,4.72,4.76,2.9
0.55,4,2,2,60.7,57.0,1316,5.27,5.3,3.21
1.14,2,4,2,60.4,57.0,5861,6.78,6.83,4.11
2.01,0,2,0,58.7,66.0,7294,8.3,8.19,4.84
0.3,2,3,7,62.2,54.0,819,4.33,4.29,2.68
0.31,3,4,7,61.4,58.0,625,4.32,4.35,2.66
0.23,4,1,6,63.3,57.0,485,3.88,3.95,2.48
1.03,1,6,5,63.7,56.0,3795,6.42,6.35,4.07
0.41,3,2,5,62.6,57.0,1107,4.74,4.71,2.96
0.7,2,2,3,60.1,57.0,2163,5.78,5.81,3.48
0.31,2,4,1,61.3,56.0,789,4.37,4.41,2.69
0.54,2,3,7,62.1,56.0,2090,5.22,5.19,3.23
1.34,4,6,3,62.3,61.0,5787,6.97,7.05,4.37
1.2,2,5,5,62.1,57.0,5914,6.78,6.71,4.19
0.9,4,3,3,60.9,56.0,3581,6.18,6.24,3.78
0.3,2,1,7,62.0,56.0,742,4.3,4.34,2.68
0.42,2,2,4,61.9,57.0,1103,4.81,4.79,2.97
0.62,2,3,7,61.8,57.0,2548,5.44,5.47,3.37
0.3,2,4,6,61.2,57.0,655,4.3,4.39,2.66
0.52,3,3,7,61.5,62.0,2012,5.17,5.14,3.17
0.32,2,2,7,61.6,55.0,945,4.41,4.42,2.72
1.2,4,2,2,63.5,57.0,6872,6.65,6.74,4.25
0.42,4,2,4,60.9,58.0,910,4.84,4.88,2.96
0.56,4,4,2,61.3,60.0,1197,5.23,5.28,3.22
1.01,4,4,2,63.5,57.0,4659,6.31,6.35,4.02
1.13,2,3,5,62.7,57.0,6525,6.65,6.68,4.18
1.01,2,5,4,62.8,57.0,3991,6.42,6.38,4.02
0.37,4,1,7,59.7,61.0,844,4.67,4.71,2.8
1.2,4,2,3,62.8,57.0,5880,6.73,6.78,4.24
1.01,3,5,2,62.8,58.0,3782,6.4,6.34,4.0
0.72,2,1,7,62.1,56.0,4285,5.72,5.77,3.57
0.81,3,5,2,61.8,58.0,2313,5.97,5.91,3.68
0.33,2,2,6,61.9,55.0,955,4.42,4.44,2.74
0.41,3,0,2,61.0,59.0,791,4.76,4.78,2.91
1.11,4,2,2,60.1,61.0,5384,6.64,6.74,4.06
0.33,4,3,5,61.5,59.4,623,4.45,4.49,2.75
1.0,2,5,2,61.5,57.0,4649,6.39,6.43,3.94
1.04,1,2,5,63.7,58.0,6606,6.34,6.43,4.07
0.52,4,0,2,60.5,61.0,1408,5.19,5.23,3.15
0.8,2,2,3,61.4,57.0,2761,5.96,6.0,3.67
0.81,3,6,2,61.4,60.0,1917,5.98,5.94,3.66
0.35,1,1,3,63.9,55.0,491,4.48,4.5,2.87
0.4,2,5,6,60.5,57.0,842,4.76,4.79,2.89
0.39,3,1,5,61.4,58.0,951,4.73,4.68,2.89
0.56,4,3,2,61.8,55.0,1361,5.28,5.33,3.28
0.53,2,2,6,62.1,53.2,2273,5.17,5.21,3.22
0.6,2,3,7,61.6,55.0,2413,5.44,5.47,3.36
0.3,4,0,3,63.0,55.0,447,4.25,4.26,2.68
0.51,1,0,2,64.0,58.0,1255,5.03,5.06,3.23
0.92,2,3,2,62.6,56.0,4173,6.21,6.19,3.88
0.33,2,2,6,62.4,55.0,1021,4.42,4.4,2.75
0.6,1,2,3,62.0,62.0,1306,5.33,5.4,3.32
1.13,2,3,7,61.6,57.0,10396,6.66,6.75,4.13
0.34,2,0,5,61.4,56.0,805,4.5,4.53,2.77
0.41,2,2,3,62.0,53.0,612,4.77,4.81,2.97
0.4,1,5,1,62.3,62.0,945,4.69,4.72,2.93
0.51,3,2,3,58.3,61.0,1036,5.18,5.14,3.01
0.3,1,0,3,63.3,57.0,447,4.26,4.3,2.71
0.56,3,1,5,61.8,56.0,1915,5.31,5.28,3.27
0.35,3,2,5,62.1,60.0,706,4.45,4.51,2.78
0.4,4,2,7,60.9,52.0,1049,4.81,4.83,2.94
0.9,3,4,4,62.4,58.0,4309,6.15,6.19,3.85
0.53,1,0,2,63.8,56.0,1636,5.16,5.12,3.28
0.53,2,1,5,62.5,57.0,1607,5.16,5.18,3.23
0.51,2,2,5,62.9,57.0,1687,5.11,5.09,3.21
0.33,3,3,4,61.9,58.0,666,4.43,4.46,2.75
0.3,2,3,6,62.7,54.0,764,4.3,4.34,2.71
0.52,2,3,3,62.1,56.0,1210,5.13,5.18,3.2
1.51,3,3,5,59.6,57.0,12696,7.52,7.49,4.47
1.2,4,5,2,61.7,56.0,4785,6.82,6.76,4.19
0.72,2,3,2,61.8,56.0,2776,5.72,5.75,3.55
0.37,2,1,4,61.2,56.0,876,4.64,4.67,2.85
0.36,3,0,2,61.4,58.0,663,4.56,4.59,2.81
1.25,2,4,5,60.0,56.0,6944,7.04,6.99,4.21
2.01,3,6,4,60.1,59.0,15185,8.25,8.18,4.94
1.36,3,1,3,61.7,59.0,7421,7.2,7.09,4.41
0.54,3,3,6,60.7,56.0,2236,5.3,5.25,3.2
0.42,2,3,6,61.6,55.0,1235,4.87,4.81,2.98
1.12,2,3,4,61.1,56.0,8080,6.7,6.73,4.1
0.32,2,0,5,62.1,54.0,758,4.4,4.46,2.75
1.02,1,2,3,61.4,61.0,4368,6.4,6.44,3.94
0.7,3,2,5,60.6,58.0,2822,5.8,5.72,3.49
0.56,2,0,5,61.6,56.0,2066,5.31,5.27,3.26
1.02,3,4,4,58.5,57.0,5569,6.65,6.61,3.88
1.37,1,5,5,64.1,58.0,5449,6.92,6.9,4.43
1.02,3,1,5,60.4,58.0,6397,6.51,6.47,3.92
0.58,2,2,4,60.4,57.0,2245,5.42,5.37,3.26
1.16,2,3,2,61.8,55.0,5908,6.75,6.78,4.18
0.23,4,1,7,61.2,60.0,505,3.97,4.0,2.44
0.3,2,0,5,62.5,54.0,911,4.32,4.29,2.69
0.5,2,3,1,60.8,54.0,2287,5.19,5.2,3.16
0.71,2,5,2,62.5,57.0,2218,5.69,5.74,3.57
0.41,2,2,4,62.5,57.0,1007,4.75,4.76,2.97
0.35,4,4,3,63.2,61.0,551,4.49,4.47,2.83
0.3,3,3,6,61.9,59.0,1013,4.31,4.28,2.66
0.51,2,0,6,61.7,56.0,2797,5.12,5.16,3.17
0.7,3,3,7,59.3,54.0,3450,5.89,5.78,3.46
0.9,1,5,3,64.0,55.0,2503,6.11,6.05,3.89
0.92,3,3,5,61.6,62.0,4287,6.3,6.24,3.86
0.37,2,2,6,61.5,56.0,931,4.59,4.61,2.83
0.34,2,0,5,61.6,55.0,687,4.48,4.54,2.78
0.33,2,4,4,61.9,56.0,743,4.48,4.44,2.76
1.6,3,4,3,59.4,59.0,8333,7.6,7.55,4.5
0.28,1,4,6,56.0,64.0,480,4.38,4.41,2.46
0.54,4,3,4,63.6,56.0,1698,5.17,5.24,3.31
0.76,2,4,6,61.8,57.0,3423,5.82,5.86,3.61
0.31,2,4,6,61.8,57.0,707,4.32,4.35,2.68
0.3,2,3,1,61.7,53.0,850,4.33,4.36,2.68
2.0,1,4,5,57.3,59.0,14042,8.27,8.24,4.73
0.41,2,4,4,61.9,56.0,827,4.75,4.78,2.95
1.0,4,2,2,61.4,62.0,4851,6.32,6.36,3.89
0.7,1,1,2,63.6,62.0,2386,5.57,5.6,3.55
0.3,3,0,5,61.0,58.0,710,4.32,4.34,2.64
0.33,2,4,6,62.5,56.0,901,4.44,4.42,2.77
1.27,3,4,5,58.9,61.0,5832,7.09,7.03,4.16
0.35,2,0,5,60.7,56.0,829,4.56,4.6,2.78
0.3,2,0,6,61.3,57.0,1069,4.32,4.29,2.64
0.33,2,3,4,61.4,55.0,854,4.48,4.44,2.74
0.7,0,4,5,64.9,56.0,1981,5.49,5.51,3.57
1.01,3,4,2,62.4,58.0,4513,6.41,6.35,3.98
0.3,2,0,7,62.4,54.0,814,4.3,4.32,2.69
0.36,2,4,7,61.3,55.0,705,4.62,4.64,2.84
0.58,2,2,4,61.9,56.0,2227,5.36,5.33,3.31
1.52,0,5,3,64.7,58.0,6905,7.19,7.22,4.66
0.75,0,2,2,64.5,60.0,2363,5.65,5.54,3.61
1.54,3,4,5,61.9,59.0,11769,7.33,7.31,4.53
0.41,3,6,6,60.1,58.0,994,4.83,4.79,2.89
0.7,1,1,3,56.9,61.0,1793,5.85,5.9,3.34
1.02,4,2,4,62.4,58.0,7587,6.42,6.47,4.02
0.7,0,3,3,69.3,60.0,1420,5.41,5.35,3.72
0.5,4,1,3,63.0,57.0,1098,5.01,5.05,3.17
0.3,0,1,4,64.5,56.0,799,4.26,4.2,2.73
0.3,2,1,7,61.4,55.0,949,4.33,4.36,2.67
1.23,3,3,7,59.6,59.0,8971,6.98,6.95,4.15
0.8,4,4,2,63.8,56.0,2739,5.85,5.91,3.75
0.51,3,2,7,60.5,59.0,2203,5.17,5.15,3.12
1.2,2,6,2,62.3,56.0,4830,6.77,6.81,4.23
1.55,2,6,5,61.4,55.0,8498,7.41,7.49,4.58
0.42,2,3,6,61.1,56.0,1235,4.84,4.82,2.95
0.58,1,2,4,62.2,62.0,2084,5.37,5.44,3.36
0.91,3,0,5,62.0,58.0,5259,6.15,6.2,3.83
2.08,3,5,6,62.2,58.0,15654,8.22,8.18,5.1
1.52,4,3,5,62.8,54.0,12359,7.26,7.36,4.59
0.73,2,1,2,60.6,54.0,2803,5.84,5.89,3.55
1.0,3,1,3,62.7,58.0,4579,6.41,6.34,4.0
0.91,4,1,4,62.8,60.0,5057,6.08,6.11,3.83
1.21,3,0,3,60.9,58.0,6031,6.89,6.83,4.18
0.27,2,2,1,61.8,55.0,796,4.16,4.19,2.58
0.32,1,2,7,62.5,61.0,619,4.32,4.38,2.72
0.32,3,3,4,62.4,58.0,828,4.4,4.35,2.73
0.37,4,0,6,62.3,54.0,1108,4.57,4.65,2.87
0.73,2,4,5,62.7,55.0,2793,5.72,5.76,3.6
0.34,2,3,6,62.1,55.0,895,4.46,4.49,2.78
0.73,2,2,3,61.5,55.0,2255,5.79,5.85,3.58
0.7,2,3,2,61.2,57.0,2074,5.71,5.79,3.52
0.31,3,2,5,61.2,58.0,625,4.35,4.37,2.67
0.34,3,1,2,59.3,58.0,765,4.59,4.55,2.71
1.51,0,6,3,65.1,59.0,5801,7.13,7.09,4.63
1.11,2,1,3,61.2,55.0,5262,6.68,6.72,4.1
1.13,2,4,0,62.2,55.0,3745,6.69,6.65,4.15
1.12,3,3,0,60.3,60.0,3017,6.75,6.69,4.05
0.47,2,1,3,61.5,55.0,931,4.98,5.04,3.08
0.72,2,5,4,60.4,56.0,3005,5.8,5.86,3.52
1.51,3,4,3,62.9,58.0,6511,7.31,7.26,4.58
1.34,2,4,3,61.6,56.0,6904,7.1,7.05,4.36
1.03,2,0,3,61.8,56.0,4679,6.46,6.51,4.01
0.9,1,2,0,64.3,58.0,2143,6.09,6.05,3.9
0.91,4,1,3,58.5,60.0,3438,6.31,6.34,3.7
2.3,2,6,2,62.3,57.0,12316,8.41,8.34,5.22
0.32,3,4,6,62.7,57.0,936,4.41,4.36,2.75
0.54,3,0,5,60.9,58.0,1993,5.31,5.27,3.22
0.9,3,4,2,61.0,59.0,3387,6.16,6.11,3.74
2.04,3,6,5,60.9,59.0,11209,8.25,8.21,5.01
0.52,4,0,5,62.9,59.0,1847,5.11,5.13,3.22
0.72,2,3,3,62.3,54.0,2295,5.76,5.79,3.6
0.7,4,6,5,61.1,61.0,1952,5.64,5.69,3.46
2.01,0,1,3,62.1,66.0,14948,7.99,7.92,4.94
0.44,2,1,7,60.9,57.0,1334,4.95,4.9,3.0
0.51,4,4,5,60.1,59.8,1328,5.14,5.19,3.1
1.03,3,0,2,61.8,57.0,5491,6.53,6.49,4.02
0.92,1,0,3,63.9,55.0,3916,6.14,6.09,3.91
0.52,4,0,2,63.3,58.0,1605,5.15,5.12,3.25
0.72,3,3,4,62.3,61.0,2646,5.73,5.66,3.55
0.7,2,3,4,60.6,57.0,2535,5.75,5.7,3.47
1.03,3,4,2,61.9,58.0,4932,6.49,6.43,4.0
0.51,2,3,4,61.0,55.0,1656,5.11,5.21,3.15
1.26,4,3,2,63.0,59.0,6733,6.84,6.88,4.32
1.51,2,5,2,61.2,60.0,8396,7.39,7.37,4.52
0.53,3,3,2,61.3,58.0,1363,5.21,5.16,3.18
0.52,4,4,2,62.6,59.0,1161,5.06,5.13,3.19
0.78,2,0,2,61.1,57.0,3214,5.95,5.97,3.64
1.58,4,0,2,62.7,60.0,13869,7.37,7.41,4.63
0.72,3,3,3,59.1,61.0,1764,5.89,5.85,3.47
0.41,0,5,4,65.3,58.0,735,4.62,4.66,3.03
0.31,2,0,5,62.5,56.0,734,4.31,4.36,2.71
0.5,4,4,7,62.9,56.0,1569,5.03,5.08,3.18
2.09,4,2,3,61.3,59.0,18509,8.19,8.33,5.06
1.12,2,2,3,61.9,55.0,5046,6.68,6.72,4.15
1.52,4,0,3,60.6,62.0,9389,7.37,7.42,4.48
0.7,3,3,2,62.0,61.0,2184,5.67,5.62,3.5
0.38,3,1,2,61.2,59.0,898,4.67,4.64,2.85
1.5,1,5,2,64.0,60.0,8736,7.25,7.13,4.6
0.51,4,1,2,63.0,58.0,1330,4.99,5.08,3.17
0.3,4,3,6,61.9,55.0,680,4.31,4.32,2.67
0.31,3,1,7,61.4,58.0,816,4.33,4.36,2.67
0.93,3,2,2,62.3,59.0,5729,6.25,6.21,3.88
0.29,4,2,7,60.8,63.0,592,4.28,4.31,2.61
1.24,1,1,3,58.5,57.0,5809,7.03,7.1,4.13
0.45,2,1,7,61.9,56.0,1337,4.91,4.95,3.05
1.0,3,2,7,60.6,54.0,8924,6.56,6.52,3.96
0.25,2,3,6,61.7,56.0,582,4.05,4.07,2.51
1.88,4,4,5,63.1,55.0,12339,7.86,7.81,4.94
0.36,2,4,1,61.9,57.0,947,4.55,4.6,2.83
0.7,2,0,3,61.3,57.0,2575,5.73,5.76,3.52
0.86,2,1,3,60.0,56.0,3478,6.22,6.24,3.74
0.3,2,3,1,61.4,57.0,956,4.37,4.33,2.67
1.3,1,4,3,63.7,57.0,6042,6.94,6.87,4.4
1.7,4,5,5,58.5,59.0,11190,7.81,7.89,4.59
0.9,4,3,3,63.3,59.0,3107,6.12,6.07,3.86
1.11,2,4,2,62.0,56.0,5102,6.65,6.61,4.11
0.23,1,1,7,62.2,60.0,505,3.9,3.94,2.44
0.61,1,1,0,63.4,57.1,1168,5.37,5.43,3.42
1.75,3,0,3,60.6,60.0,13363,7.74,7.78,4.7
1.04,2,5,4,63.0,56.0,4696,6.44,6.41,4.05
2.16,2,5,3,61.9,54.0,15124,8.29,8.33,5.14
1.2,3,4,2,62.1,55.0,5746,6.79,6.74,4.2
0.3,2,2,4,61.5,55.0,612,4.31,4.34,2.66
0.31,2,2,5,60.8,56.0,625,4.38,4.41,2.67
0.86,2,3,3,61.9,55.0,3442,6.11,6.14,3.79
1.01,2,0,2,61.6,56.0,5234,6.45,6.48,3.98
0.92,2,0,2,62.3,56.0,5779,6.2,6.23,3.87
0.38,2,2,7,60.3,55.0,1052,4.69,4.79,2.86
0.4,4,2,4,61.3,54.0,890,4.8,4.83,2.95
0.9,2,1,7,62.8,54.0,7286,6.11,6.21,3.87
1.11,4,1,3,61.7,63.0,4177,6.65,6.54,4.07
0.32,3,4,7,62.3,58.0,828,4.37,4.33,2.71
0.33,2,2,7,61.9,56.0,810,4.42,4.46,2.75
0.76,3,1,3,59.3,62.0,2329,6.01,5.96,3.55
0.31,3,4,7,62.3,60.0,802,4.36,4.31,2.7
1.32,3,5,2,62.2,58.0,6283,7.04,6.99,4.36
0.33,2,1,7,61.2,56.0,814,4.46,4.5,2.74
0.24,2,2,5,61.8,57.0,408,3.97,3.99,2.46
2.01,3,1,2,60.4,61.0,12898,8.05,7.98,4.84
0.9,4,5,2,63.3,59.0,3251,6.14,6.05,3.86
0.55,3,0,7,61.2,57.0,2366,5.3,5.26,3.23
0.91,1,3,3,62.5,60.0,3149,6.05,6.08,3.79
0.39,2,0,4,60.3,56.0,1095,4.71,4.77,2.86
1.24,2,6,5,61.8,58.0,5361,6.88,6.84,4.24
0.32,2,1,7,61.6,57.0,1080,4.43,4.4,2.72
0.29,4,4,7,61.7,55.0,541,4.27,4.3,2.64
1.13,3,3,2,60.9,60.0,5376,6.76,6.67,4.09
1.02,3,4,3,59.2,59.0,3769,6.57,6.54,3.88
0.77,2,0,4,62.3,56.0,4407,5.83,5.89,3.65
0.37,2,3,5,61.4,56.0,671,4.63,4.65,2.85
1.34,3,3,7,61.3,58.0,11118,7.16,7.1,4.37
0.38,3,1,4,60.2,58.0,1000,4.66,4.71,2.82
1.74,2,4,2,61.9,55.0,12605,7.71,7.74,4.78
1.2,0,5,0,65.1,55.0,2376,6.65,6.59,4.31
1.19,2,4,5,62.0,54.0,7633,6.79,6.83,4.22
0.23,4,1,7,59.4,59.0,530,4.03,4.08,2.41
1.22,3,5,4,60.6,61.0,6354,6.94,6.88,4.19
0.52,2,3,7,61.8,57.0,2012,5.19,5.14,3.19
0.79,2,5,4,62.2,57.0,2958,5.89,5.94,3.68
0.4,1,0,5,63.5,55.0,891,4.66,4.69,2.97
0.59,2,4,5,62.2,59.0,1648,5.38,5.34,3.33
1.24,2,4,4,62.1,56.0,8299,6.85,6.88,4.26
0.37,2,1,5,61.9,53.0,1041,4.65,4.62,2.87
0.91,2,3,4,61.3,56.0,4029,6.28,6.21,3.83
1.14,2,2,3,61.7,56.0,4591,6.71,6.67,4.13
1.04,3,2,5,59.6,62.0,6278,6.62,6.56,3.93
0.71,2,4,3,62.1,56.0,2086,5.76,5.71,3.56
0.3,2,2,4,61.4,56.0,844,4.37,4.33,2.67
0.5,1,1,2,63.7,59.0,1155,5.07,5.01,3.21
0.36,2,0,5,61.6,56.0,1094,4.57,4.55,2.81
1.51,3,0,2,62.5,60.0,11760,7.27,7.23,4.54
0.92,2,0,3,61.9,55.0,5051,6.24,6.27,3.87
0.7,2,1,2,62.3,56.0,1758,5.68,5.62,3.52
0.61,3,4,7,62.4,59.0,1827,5.4,5.43,3.38
0.32,2,5,2,62.4,57.0,432,4.35,4.37,2.72
1.76,4,5,3,62.0,57.0,9898,7.7,7.74,4.78
1.62,2,5,5,61.8,55.0,11217,7.56,7.59,4.68
0.24,4,0,4,62.2,58.0,419,3.95,3.99,2.47
0.31,2,3,2,61.6,55.0,563,4.34,4.37,2.68
0.36,1,1,3,63.7,54.0,648,4.55,4.52,2.89
0.4,4,2,7,62.9,55.0,972,4.72,4.75,2.98
0.61,2,4,4,60.8,56.0,2053,5.51,5.47,3.34
0.74,4,5,2,63.8,58.0,2352,5.72,5.76,3.66
1.55,4,5,2,62.0,62.0,8644,7.33,7.47,4.59
1.0,4,3,2,61.4,57.0,4919,6.45,6.42,3.95
0.7,2,2,5,62.7,55.0,3011,5.66,5.69,3.56
2.01,4,4,2,58.2,63.0,18027,8.32,8.23,4.82
0.31,2,0,5,62.5,56.0,734,4.34,4.36,2.72
0.7,2,2,3,62.1,57.0,2398,5.65,5.69,3.52
0.31,2,3,7,62.2,55.0,565,4.32,4.36,2.7
0.92,2,1,2,62.1,56.0,5516,6.22,6.24,3.87
